编号	课程名称	开课单位	专业方向	学分	已选人数	余量	授课老师	上课周次	上课时间	上课地点	课程属性	课程性质
851	英语演讲	外语系		3	35	17	外教B	"1-17,1-6,7"	"?50102,30304,40506"	"教四楼二区112,教一楼二区404,教四楼二区104"	选修	学科基础平台课程
852	医用遗传学基础	医学生物学教研室		2	28	24	"王家顿,任波"	"1-5,7,1-5,1-5,1-5,7,1-5,1-5"	"?10102,40304,20506,10102,40304,20506"	"教一楼二区207,教一楼二区208,教一楼三区502,教一楼二区207,教一楼二区208,教一楼三区502"	选修	学科基础平台课程
853	软件测试技术与工具	软件工程教研室		2.5	22	30	王磊	"4-11,4-10"	"?20708,50102"	"教三楼110（黄家湖）,教一楼二区202"	选修	专业任选课程
854	电子政务	行政管理教研室		2.5	30	40	王哲	"2-11,2-11"	"?50506,30102"	"教四楼一区306,教四楼一区306"	选修	专业任选课程
855	建筑法规	城市建设学院		2	31	59	庄凌	"7-13,7-8,7-13"	"?10708,50506,40708"	"教三楼209（黄家湖）,教三楼109（黄家湖）,教三楼209（黄家湖）"	选修	学科基础平台课程
856	卫生法	医学院		1	32	52	朱长才	"9-11,9-10,9-11"	"?30304,50304,20102"	"教一楼一区208,教一楼一区207,教一楼一区209"	选修	专业任选课程
857	建筑节能技术	城市建设学院		1	68	22	陈敏	"9-12,9-12"	"?50102,20506"	"教三楼308（黄家湖）,教三楼308（黄家湖）"	选修	专业任选课程
858	建筑法规	城市建设学院		2	71	19	庄凌	"7-8,7-13,7-13"	"?50304,40506,10506"	"教三楼109（黄家湖）,教三楼209（黄家湖）,教三楼209（黄家湖）"	选修	专业方向课程1
859	人口学	行政管理教研室		2.5	24	129	程妍	"9-18,9-18"	"?30506,50506"	"教四楼一区101,教四楼一区101"	选修	专业任选课程
860	中国古代建筑文献解析	建筑学教研室		1.5	67	23	伍昌友	"7-12,7-12"	"?30708,50102"	"教三楼208（黄家湖）,教三楼208（黄家湖）"	选修	专业任选课程
861	电路理论	电工电子基础课部		3.5	32	18	武达亮	"1-10,2,4,6,1-10"	"?20102,50102,40102"	"教一楼二区101,教一楼二区108,教一楼二区405"	必修	学科基础平台课程
862	线性代数	理学院		2	121	-1	王灵君	"1-8,1-8"	"?40506,20708"	"教一楼一区306,教一楼一区106"	必修	学科基础平台课程
863	数学分析(三)	信息与计算科学系		5.5	125	9	徐树立	"1-14,1-15,1-15"	"?50506,30910,10910"	"教一楼三区107,教一楼三区107,教一楼三区107"	必修	学科基础平台课程
864	人文与自然地理学	资源规划教研室		3	31	26	王巧稚	"3-14,3-14"	"?30506,50304"	"教一楼三区102,教一楼二区408"	必修	学科基础平台课程
865	复变函数与积分变换	信息与计算科学系		3	43	91	余长春	"2-13,2-13"	"?20506,50304"	"教一楼一区310,教一楼一区401"	必修	学科基础平台课程
866	概率论与数理统计	信息与计算科学系		3	59	75	徐帆	"7-18,7-18"	"?20304,40304"	"教一楼一区301,教一楼一区301"	必修	学科基础平台课程
867	大学物理B(二)	理学院		1.5	121	-1	卢建夺	"1-6,1-6"	"?20102,40102"	"教一楼一区204,教一楼一区204"	必修	学科基础平台课程
868	大学物理A(二)	应用物理系		3	65	78	李云宝	"1-12,1-12"	"?20304,50304"	"教二楼一区101,教二楼一区101"	必修	学科基础平台课程
869	建筑设计（I）	建筑学教研室		3.5	29	21	"肖霄,陈实"	"1-6,1-6,1-6,1-6"	"?401020304,201020304,401020304,201020304"	"教六楼四区204,教六楼四区204,教六楼四区204,教六楼四区204"	必修	专业核心课程
870	电工技术	电工电子基础课部		2	73	70	柳利军	1月12日	?20506	教二楼一区301	必修	学科基础平台课程
871	线性代数	理学院		2	116	4	彭静	"1-8,1-8"	"?10304,50506"	"教一楼一区206,教一楼一区305"	必修	学科基础平台课程
872	电工技术	电工电子基础课部		2	84	0	胡修兵	1月12日	?20708	教一楼一区405	必修	学科基础平台课程
873	秘书学	行政管理教研室		3.5	62	28	魏敏	"1-14,1-14"	"?40102,20102"	"教四楼一区103,教四楼一区103"	必修	专业核心课程
874	线性代数	理学院		2	134	6	张艳红	"1-8,1-8"	"?40102,50102"	"教一楼一区504,教一楼一区304"	必修	学科基础平台课程
875	建筑构造	建筑学教研室		2	30	60	李晚珍	"1-8,1-8"	"?40304,20304"	"教三楼209（黄家湖）,教三楼209（黄家湖）"	必修	学科基础平台课程
876	人力资源管理	行政管理教研室		3	29	61	刘珺	"2-13,2-13"	"?10506,40304"	"教四楼一区105,教四楼一区105"	必修	学科基础平台课程
877	英语听力B(二)	外语系		2	30	27	田芳	1月16日	?50708	教一楼二区301	必修	学科基础平台课程
878	概率论与数理统计	信息与计算科学系		3	113	21	陈清平	"5-8,11-18,5-8,11-18"	"?20102,40102"	"教一楼一区201,教一楼一区201"	必修	学科基础平台课程
879	数据结构	软件工程教研室		4.5	85	55	李顺新	"3-17,3-18"	"?50506,30304"	"教三楼104（黄家湖）,教三楼104（黄家湖）"	必修	专业核心课程
880	数据结构	软件工程教研室		4.5	82	8	梁平	"3-18,3-17"	"?10708,50304"	"教三楼309（黄家湖）,教三楼104（黄家湖）"	必修	专业核心课程
881	电工技术	电工电子基础课部		2	66	18	王冬梅	1月12日	?40708	教一楼一区108	必修	学科基础平台课程
882	JAVA编程技术	软件工程教研室		3	90	0	张智	"1-8,1-9"	"?10506,50506"	"教三楼111（黄家湖）,教三楼211（黄家湖）"	必修	专业核心课程
883	概率论与数理统计	理学院		3	97	37	马建清	"7-18,7-18"	"?20102,40102"	"教一楼一区103,教一楼一区103"	必修	学科基础平台课程
884	数据结构	软件工程教研室		4.5	29	61	梁平	"3-18,3-17"	"?40506,10506"	"教三楼108（黄家湖）,教三楼309（黄家湖）"	必修	专业核心课程
885	JAVA编程技术	软件工程教研室		3	90	0	张智	"1-9,1-8"	"?50304,10708"	"教三楼311（黄家湖）,教三楼111（黄家湖）"	必修	专业核心课程
886	中级财务会计（一）	财务会计系		3	97	3	周莉	"7-18,7-18"	"?30708,10708"	"管理楼113,管理楼113"	必修	专业核心课程
887	工程材料学	汽车运用系		1.5	76	29	金贵林	"7-12,7-12"	"?40304,20304"	"汽车楼208,汽车楼208"	必修	专业核心课程
888	经济法	市场营销系		3	60	24	宗晓虹	"1-8,1-8,1-8"	"?50708,10708,30708"	"教三楼304（黄家湖）,教一楼三区108,教一楼三区101"	必修	学科基础平台课程
889	理论力学B	力学教研室		4.5	30	22	胡百鸣	"1-12,1-12,1-12"	"?10708,50102,30708"	"教一楼二区207,教一楼二区207,教一楼三区103"	必修	学科基础平台课程
890	企业物流管理	管理学院		3	57	77	黄履珺	"12-18,12-17,12-18"	"?20304,50304,40304"	"教一楼一区302,教一楼一区302,教一楼一区403"	必修	专业核心课程
891	工商管理类专业教育指导	工商管理系		1	32	52	"黎精明,吴世军,童泽平,马金平"	"1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4"	"?30102,50506,30102,50506,30102,50506,30102,50506"	"教一楼一区309,教一楼一区207,教一楼一区309,教一楼一区207,教一楼一区309,教一楼一区207,教一楼一区309,教一楼一区207"	必修	通识教育平台课程
892	国际贸易与金融	市场营销系		3	32	52	李丽萍	"11-18,11-18,11-18"	"?20304,50102,40304"	"教一楼三区201,教一楼三区401,教三楼108（黄家湖）"	必修	学科基础平台课程
893	护理心理学	临床护理教研室		2.5	62	22	郑一瑾	"7-15,7-15"	"?10506,50304"	"教一楼三区307,教一楼一区309"	必修	专业核心课程
894	MATLAB语言	电子信息工程系		2.5	110	24	郑庆庆	"5-10,5-10"	"?10506,50506"	"教一楼一区401,教一楼一区401"	必修	学科基础平台课程
895	数据结构	电子信息工程系		2.5	112	31	但峰	"5-12,5-12"	"?30102,10102"	"教二楼二区201,教二楼二区301"	必修	专业核心课程
896	离散数学	计算机科学与技术学院		4	81	59	张铭晖	"1-16,1-16"	"?40506,10304"	"教三楼406（黄家湖）,教三楼407（黄家湖）"	必修	学科基础平台课程
897	中国建筑史	城市建设学院		2	76	64	徐虹	"6-13,6-13"	"?10304,20506"	"教三楼307（黄家湖）,教三楼205（黄家湖）"	必修	学科基础平台课程
898	工程力学A	力学教研室		5	68	16	胡百鸣	"1-13,1-12,1-12"	"?10304,50304,30506"	"教一楼一区208,教一楼一区308,教一楼三区103"	必修	学科基础平台课程
899	电工技术	电工电子基础课部		2	60	74	张军颖	1月12日	?50708	教一楼一区103	必修	学科基础平台课程
900	机械工程若干前沿技术	机械设计及制造教研室		1	61	73	伍世虔	13	?50102	教一楼一区101	必修	专业核心课程
901	概率论与数理统计	信息与计算科学系		3	88	46	马建清	"7-18,7-18"	"?20304,40304"	"教一楼一区103,教一楼一区103"	必修	学科基础平台课程
902	社会工作伦理	社会工作教研室		3	27	63	黄涛	"1-12,1-12"	"?50304,20506"	"教四楼一区102,教四楼一区103"	必修	专业核心课程
903	专业英语	社会工作教研室		2.5	27	57	宁雯雯	"9-18,9-18"	"?30708,50506"	"教四楼一区105,教一楼一区405"	必修	学科基础平台课程
904	金工实习B	工程训练中心		1.5	237	63	曹建华	1月12日	?401020304	工程训练中心一楼	必修	实践教学模块
905	外科护理学(一)	临床护理教研室		4	49	35	"陈小路,高翼"	"5-17,5-16,5-17,5-16"	"?10304,40506,10304,40506"	"教一楼三区502,教一楼三区502,教一楼三区502,教一楼三区502"	必修	专业核心课程
906	药物流行病学	医学院		2	37	47	叶方立	"1-4,1-4"	"?20102,10102"	"教一楼三区501,教一楼三区501"	选修	专业任选课程
907	病理生理学	医学院		3.5	111	9	"刘亚昆,曾燕,袁修学,陈星星"	"1-5,7-10,1-5,7-10,1-5,7-11,1-5,7-10,1-5,7-10,1-5,7-11,1-5,7-10,1-5,7-10,1-5,7-11,1-5,7-10,1-5,7-10,1-5,7-11"	"?30506,50102,10304,30506,50102,10304,30506,50102,10304,30506,50102,10304"	"教一楼一区205,教一楼一区205,教一楼一区205,教一楼一区205,教一楼一区205,教一楼一区205,教一楼一区205,教一楼一区205,教一楼一区205,教一楼一区205,教一楼一区205,教一楼一区205"	必修	学科基础平台课程
908	经济法	管理学院		2	30	54	宗晓虹	"1-8,1-8"	"?30304,10304"	"教一楼三区202,教一楼三区103"	选修	学科基础平台课程
909	操作系统	计算机科学与技术学院		3.5	115	25	黄革新	"4-15,4-14"	"?30304,50506"	"教三楼305（黄家湖）,教三楼105（黄家湖）"	必修	专业核心课程
910	专业英语	计算机应用教研室		2	75	15	付晓薇	"8-15,8-15"	"?10506,30708"	"教三楼206（黄家湖）,教三楼308（黄家湖）"	选修	专业任选课程
911	专业英语	计算机科学与技术学院		2	63	77	胡静	"8-15,8-15"	"?30304,10506"	"教三楼107（黄家湖）,教三楼107（黄家湖）"	选修	专业任选课程
912	专业英语	计算机科学与技术学院		2	65	25	胡静	"8-15,8-15"	"?50506,10708"	"教三楼208（黄家湖）,教三楼107（黄家湖）"	选修	专业任选课程
913	汽车构造（二）	车辆工程系		2	149	11	郭健忠	"12-16,12-16,12-17"	"?50304,30708,10708"	"教一楼一区104,教一楼一区106,教一楼三区106"	必修	专业核心课程
914	动力电池技术	车辆工程系		1.5	29	21	麻友良	"12-16,12-16"	"?10506,30506"	"汽车楼201,汽车楼201"	必修	专业核心课程
915	建筑概论	建筑学教研室		2	78	12	李晚珍	"1-8,1-8"	"?40506,20102"	"教三楼208（黄家湖）,教三楼208（黄家湖）"	选修	专业任选课程
916	汽车排放与噪声控制	车辆工程系		1.5	75	9	张光德	"11-16,11-16"	"?20304,40304"	"汽车楼211,汽车楼211"	选修	专业任选课程
917	结构设计原理	结构教研室	土木工程方向2	4	115	25	高永红	"8-13,1-13,1-13"	"?50506,20102,40102"	"教三楼405（黄家湖）,教三楼306（黄家湖）,教三楼306（黄家湖）"	选修	专业方向课程2
918	桥涵水文	结构教研室	土木工程方向2	1.5	114	26	金清平	"11-12,9-13,9-13"	"?30102,20708,10708"	"教三楼205（黄家湖）,教三楼306（黄家湖）,教三楼306（黄家湖）"	选修	专业方向课程2
919	税法	法学教研室		2	69	15	程红丹	"2-9,2-9"	"?20708,40708"	"教一楼一区109,教一楼一区109"	选修	专业任选课程
920	国际经济学	专业经济教研室		3	72	68	陈春	"1-8,1-8,1-8"	"?30102,10102,50102"	"教四楼一区101,教四楼一区202,教三楼304（黄家湖）"	必修	专业核心课程
921	市政学	行政管理教研室		3	61	23	石秀华	"7-18,7-18"	"?40304,10506"	"教一楼三区109,管理楼101"	选修	专业方向课程1
922	机械设计基础	交通运输系		3.5	30	22	邵正宇	"1-9,1-8,1-8"	"?10102,30102,50102"	"教一楼二区306,教一楼三区208,教一楼二区107"	必修	专业核心课程
923	机械设计基础	交通运输系		4.5	61	29	邵正宇	"1-16,1-16,16"	"?30304,10304,50304"	"教一楼三区210,教一楼一区210,汽车楼202"	必修	专业核心课程
924	机械设计基础	交通运输系		3.5	67	17	邵正宇	"4-12,4-11,4-11"	"?10506,50304,30506"	"教一楼三区205,教一楼三区301,教二楼一区101"	必修	专业核心课程
925	交通运输企业管理	交通运输系		2	30	18	卿前恺	"9-13,9-14,9-13"	"?50506,10304,30304"	"汽车楼205,汽车楼205,汽车楼205"	选修	专业方向课程1
926	外贸英语函电	行政管理教研室		2.5	72	18	吴汉军	"1-10,1-10"	"?40102,20102"	"教四楼一区102,教四楼二区103"	选修	专业方向课程1
927	弹性力学	力学教研室		3.5	60	24	磨季云	"1-10,1-9,1-9"	"?10708,50304,30708"	"教一楼一区207,教一楼三区406,教一楼一区207"	必修	专业核心课程
928	实验力学	力学教研室		3	58	26	牛清勇	"1-9,1-9"	"?30506,50506"	"教一楼一区405,教一楼三区203"	必修	专业核心课程
929	翻译理论与实践	外语系		3	24	28	吴万伟	"1-12,1-12"	"?10304,40506"	"教一楼二区303,教一楼二区106"	必修	专业核心课程
930	政府经济学	行政管理教研室		3	30	54	张彦英	"1-12,1-12"	"?40708,20708"	"教一楼一区401,教一楼三区103"	必修	学科基础平台课程
931	政府经济学	行政管理教研室		3	62	22	张彦英	"1-12,1-12"	"?40506,20506"	"教一楼一区401,教一楼三区103"	必修	专业核心课程
932	物流运输组织与管理	交通运输系		2	61	29	陈玲娟	"9-16,9-16"	"?40102,20102"	"汽车楼202,汽车楼202"	必修	专业核心课程
933	能源科学导论	城市建设学院		1	71	19	刘腊美	"1-4,1-4"	"?50102,30506"	"教三楼205（黄家湖）,教三楼210（黄家湖）"	选修	专业任选课程
934	自动控制原理	暖通教研室		2.5	70	20	陈琳	"1-8,1-9"	"?50304,10304"	"教三楼308（黄家湖）,教三楼208（黄家湖）"	必修	学科基础平台课程
935	计算机组成原理	理学院		5	39	45	刘燕丽	"1-17,1-17,4-6,4-6"	"?20102,40102,40304,20304"	"教一楼一区107,教一楼三区102,教一楼三区102,教一楼一区107"	选修	专业方向课程1
936	操作系统	理学院		3	39	45	李琳娜	"1-12,1-12"	"?20708,40708"	"教一楼一区107,教一楼一区107"	选修	专业方向课程1
937	地基处理	结构教研室	土木工程方向3	2.5	17	73	杨泰华	"1-10,1-10"	"?40506,20708"	"教三楼310（黄家湖）,教三楼209（黄家湖）"	选修	专业方向课程3
938	现代物流管理	交通运输系		2	61	23	卿前恺	"1-8,1-8"	"?10708,30708"	"教一楼三区101,教一楼一区402"	选修	专业任选课程
939	职业生涯规划与就业创业指导	学工处通识课程教研室		1	96	38	白冰	"4-7,4-7"	"?30102,10910"	"教一楼一区203,教一楼一区203"	必修	通识教育平台课程
940	职业生涯规划与就业创业指导	学工处通识课程教研室		1	105	29	秦茂林	"1-4,1-4"	"?30910,10910"	"教一楼一区203,教一楼一区202"	必修	通识教育平台课程
941	心理健康与咨询	社会工作教研室		2.5	24	28	吴少利	"8-17,8-17"	"?50910,20910"	"教一楼二区101,教一楼二区101"	选修	专业方向课程1
942	音乐心理治疗	社会工作教研室		2.5	24	28	张勇	"6-12,6-12,6-11"	"?20708,10708,40708"	"教一楼一区207,教一楼二区306,教一楼一区207"	选修	专业任选课程
943	英文经典影视赏析	外语系		2	51	39	傅治强	1月16日	?40102	教四楼二区103	选修	专业任选课程
944	个案工作	社会工作教研室		3	23	61	柯燕	"1-12,1-12"	"?30506,50102"	"教一楼一区209,教四楼一区103"	必修	专业核心课程
945	职业生涯规划与就业创业指导	学工处通识课程教研室		1	111	23	史洁	"1-4,1-4"	"?50506,30910"	"教一楼一区501,教一楼一区202"	必修	通识教育平台课程
946	医用遗传学基础	医学院		2	89	11	"任波,王家顿"	"1-5,7,1-5,1-5,1-5,7,1-5,1-5"	"?20102,50102,30506,20102,50102,30506"	"教一楼一区105,教一楼一区105,教一楼一区105,教一楼一区105,教一楼一区105,教一楼一区105"	选修	学科基础平台课程
947	职业生涯规划与就业创业指导	学工处通识课程教研室		1	98	22	黄荡	"1-4,1-4"	"?30708,10708"	"教一楼一区105,教一楼一区104"	必修	通识教育平台课程
948	高级英语(三)	外语系		3	37	20	康有金	"1-12,1-12"	"?40506,20506"	"教一楼二区501,教一楼二区501"	必修	专业核心课程
949	工艺美术史	工业设计系		1.5	36	48	曹亚丽	"12-17,12-17"	"?40506,50506"	"教一楼三区202,教五楼二区408"	选修	学科基础平台课程
950	人机工程学	工业设计系		2	40	94	吴清	11月18日	?205060708	教一楼三区505	选修	学科基础平台课程
951	环境艺术设计（室内）	工业设计系		2.5	38	52	梁家年	"1-5,1-5"	"?201020304,501020304"	"教一楼三区102,教一楼三区102"	选修	专业任选课程
952	绘画材料分析	美术系(油画)		2	16	34	杨涛	"9-12,9-12"	"?301020304,201020304"	"教一楼二区709,教一楼二区709"	必修	专业核心课程
953	公共环境设施设计	艺术设计系		2	27	23	李菁	"10-13,10-13"	"?205060708,105060708"	"教一楼二区904,教一楼二区904"	选修	学科基础平台课程
954	线描	美术系(国画)		3	24	26	杨涛	"13-15,13-15,13-15,13-15"	"?301020304,201020304,401020304,501020304"	"教五楼二区404,教五楼二区404,教五楼二区404,教五楼二区404"	必修	专业核心课程
955	设计表达（一）	艺术设计系		3	39	13	胡康	"4-5,7-10,4-5,7-10"	"?501020304,205060708"	"教一楼二区603,教一楼二区603"	必修	专业核心课程
956	民间造型语言	美术系(国画)		3	27	23	周薇	"9-11,9-11,9-11,9-11"	"?401020304,201020304,501020304,301020304"	"教一楼二区904,教一楼二区904,教一楼二区904,教一楼二区904"	选修	学科基础平台课程
957	计算机辅助设计(一)	工业设计系		3	72	-1	罗斌	"7-10,7-10,7-10"	"?501020304,105060708,301020304"	"艺术学院机房203,艺术学院机房203,艺术学院机房203"	选修	学科基础平台课程
958	抽象语言	美术系（公共艺术		3	27	23	徐武斌	"1-3,1-3,1-3,1-3"	"?501020304,401020304,301020304,201020304"	"教一楼二区904,教一楼二区904,教一楼二区904,教一楼二区904"	必修	专业核心课程
959	图案设计(一)	艺术设计系		3	37	15	聂虹	"1-4,1-4,1-4"	"?201020304,501020304,401020304"	"教五楼二区403,教五楼二区403,教五楼二区403"	必修	学科基础平台课程
960	产品设计(三)	工业设计系		3	37	47	王采莲	"1-5,7,1-5,7"	"?401020304,201020304"	"教一楼三区203,教一楼三区203"	选修	专业方向课程1
961	陶艺(二)	美术系（公共艺术		3.5	28	32	裴磊	"16-18,15-18,16-18,15-18"	"?101020304,501020304,201020304,401020304"	"教三楼陶艺008,教三楼陶艺008,教三楼陶艺008,教三楼陶艺008"	选修	专业任选课程
962	人机工程学	工业设计系		2	66	68	吴清	11月18日	?205060708	教一楼三区505	必修	专业核心课程
963	英语国家概况	外语系		3	33	17	张毅	"1-12,1-12"	"?10102,50102"	"教一楼二区405,教一楼二区203"	必修	通识教育平台课程
964	英语听力A(三)	外语系		2	33	19	黄西林	1月16日	?30304	教四楼二区110	必修	学科基础平台课程
965	综合英语(三)	外语系		6	34	18	乔琼	"1-16,1-16,1-16"	"?30102,10304,50102"	"教四楼二区104,教四楼二区104,教四楼二区106"	必修	专业核心课程
966	环境心理学	艺术设计系		2	75	15	李菁	11月18日	?201020304	教五楼二区405	选修	学科基础平台课程
967	概率论与数理统计	理学院		3	87	13	宋硕	"7-18,7-18"	"?30102,50102"	"教一楼一区206,教一楼一区206"	必修	学科基础平台课程
968	钢结构基本原理	结构教研室		3	77	63	李成玉	"1-12,1-12"	"?50304,20506"	"教三楼404（黄家湖）,教三楼307（黄家湖）"	必修	专业核心课程
969	马克思主义基本原理	哲学教研室		3	100	0	郭继海	"7-16,7-16"	"?40506,20506"	"教一楼一区502,教一楼一区503"	必修	通识教育平台课程
970	马克思主义基本原理	文法与经济学院		3	135	0	李蓓	"7-16,7-16"	"?40708,20708"	"教一楼一区304,教一楼一区205"	必修	通识教育平台课程
971	马克思主义基本原理	哲学教研室		3	120	0	刘琪	"7-16,7-16"	"?20102,40102"	"教一楼一区503,教一楼一区402"	必修	通识教育平台课程
972	马克思主义基本原理	文法与经济学院		3	130	0	张春晖	"7-16,7-16"	"?10708,30708"	"教一楼一区504,教一楼一区504"	必修	通识教育平台课程
973	物理化学(一)	化学系		3	71	19	周瑜	"1-12,1-12"	"?40506,10506"	"教一楼三区506,教三楼108（黄家湖）"	必修	学科基础平台课程
974	物理化学A(一)	化学系		2.5	84	50	曾丹林	"1-10,1-10"	"?20708,50506"	"教一楼一区202,教一楼一区101"	必修	专业核心课程
975	有机化学A（二）	化学系		2.5	65	25	赵智勇	"1-10,1-10"	"?50102,30506"	"教三楼110（黄家湖）,教三楼110（黄家湖）"	必修	学科基础平台课程
976	有机化学A	化学工程与技术学院		4	56	34	张海清	"1-16,1-16"	"?50304,20506"	"教三楼108（黄家湖）,教一楼三区309"	必修	专业核心课程
977	实验设计与数据处理	化工工艺教研室		2	38	46	高晓芳	"11-18,11-18"	"?20304,40304"	"教一楼一区207,教一楼一区108"	选修	学科基础平台课程
978	仪器分析	化学系		3	38	14	陈荣生	"2-13,2-13"	"?10304,50304"	"教三楼206（黄家湖）,教一楼二区108"	必修	专业核心课程
979	电工技术	电工电子基础课部		2	65	19	周钰杰	1月12日	?30708	教一楼一区308	必修	学科基础平台课程
980	体育(三)	体育课部		1	13	12	卢云飞	1月17日	?50304	黄家湖北区运动场	必修	通识教育平台课程
981	体育(三)	体育课部		1	25	1	饶威	1月17日	?10506	黄家湖北区运动场	必修	通识教育平台课程
982	体育(三)	体育课部		1	25	1	周洋	1月17日	?10304	黄家湖北区运动场	必修	通识教育平台课程
983	体育(三)	体育课部		1	25	1	余小平	1月17日	?50506	黄家湖北区运动场	必修	通识教育平台课程
984	体育(三)	体育课部		1	0	25	敖德江	1月17日	?50304	黄家湖北区运动场	必修	通识教育平台课程
985	体育(三)	体育课部		1	25	1	敖德江	1月17日	?30506	黄家湖北区运动场	必修	通识教育平台课程
986	体育(三)	体育课部		1	25	1	廖广云	1月17日	?30708	黄家湖北区运动场	必修	通识教育平台课程
987	体育(三)	体育课部		1	25	1	郭锐	1月17日	?10304	黄家湖北区运动场	必修	通识教育平台课程
988	体育(三)	体育课部		1	25	1	王小安	1月17日	?20304	黄家湖北区运动场	必修	通识教育平台课程
989	体育(三)	体育课部		1	27	0	马蕲	1月17日	?50708	黄家湖北区运动场	必修	通识教育平台课程
990	体育(三)	体育课部		1	25	1	余小平	1月17日	?30506	黄家湖北区运动场	必修	通识教育平台课程
991	体育(三)	体育课部		1	26	0	盛克庆	1月17日	?20506	黄家湖北区运动场	必修	通识教育平台课程
992	设计素描	工业设计系		4	0	50	高超	"9-12,9-12,9-12,9-12"	"?301020304,501020304,101020304,401020304"	"教一楼二区902,教一楼二区902,教一楼二区902,教一楼二区902"	必修	学科基础平台课程
993	英语语音	外语系		2	0	58	张彦	"7-17,7-11"	"?50102,40708"	"管理楼104,管理楼111"	必修	学科基础平台课程
994	英语语音	外语系		2	0	50	姜莹	"7-14,7-14"	"?40708,20304"	"教一楼二区305,教一楼二区205"	必修	学科基础平台课程
995	基础化学	化学系		2	0	100	彭子琼	"6-13,6-13"	"?50708,30708"	"教一楼一区105,教一楼三区104"	必修	学科基础平台课程
996	计算机科学导论	计算机科学教研室		1	0	140	袁嵩	7月14日	?10708	教三楼407（黄家湖）	必修	通识教育平台课程
997	计算机科学导论	计算机科学教研室		1	0	140	袁嵩	7月14日	?20506	教三楼406（黄家湖）	必修	通识教育平台课程
998	体育(一)	体育课部		1	0	25	杜辉	6月18日	?30506	黄家湖南区运动场	必修	通识教育平台课程
999	体育(一)	体育课部		1	0	25	杜辉	6月18日	?20304	黄家湖南区运动场	必修	通识教育平台课程
1000	体育(一)	体育课部		1	0	25	杜辉	6月18日	?10506	黄家湖南区运动场	必修	通识教育平台课程
1001	体育(一)	体育课部		1	0	25	杜辉	6月18日	?10708	黄家湖南区运动场	必修	通识教育平台课程
1002	政治经济学	马克思主义中国化系		3	5	95	贺尊	"7-18,7-18"	"?30304,20304"	"教一楼三区310,教一楼三区310"	选修	学科基础平台课程
1003	英语听力A(一)	外语系		2	0	40	周红霞	"7-17,7-11"	"?50506,40506"	"教四楼二区107,教一楼二区404"	必修	学科基础平台课程
1004	英语口语B(一)	外语系		2	3	54	外教D	"7-14,7-14"	"?30506,50506"	"管理楼103,教一楼二区302"	必修	学科基础平台课程
1005	英语阅读(一)	外语系		2	0	58	范丽	"7-17,7-11"	"?50102,30304"	"汽车楼206,管理楼112"	必修	学科基础平台课程
1006	机械制图A(一)	工程图学教研室		3.5	0	50	邓东芳	"10-12,7-16,7-16"	"?40708,30708,40506"	"教一楼二区405,教一楼二区305,教一楼二区304"	必修	专业核心课程
1007	机械制图B(一)	工程图学教研室		2.5	2	86	易灿灿	"7-15,7-14"	"?20506,40506"	"管理楼107,管理楼102"	必修	学科基础平台课程
1008	机械制图B(一)	工程图学教研室		2.5	1	49	吴宗武	"7-14,7-14"	"?40304,30708"	"教一楼二区404,教一楼二区205"	必修	专业核心课程
1009	工程制图B	工程图学教研室		3	0	50	蒋俊	"7-16,7-16"	"?30506,40708"	"教二楼二区101,教一楼二区205"	选修	学科基础平台课程
1010	工程制图B	工程图学教研室		3	1	83	吴宗武	"7-16,7-16"	"?30102,50102"	"教一楼一区309,汽车楼210"	必修	学科基础平台课程
1011	综合英语(一)	外语系		6	0	48	夏利平	"7-18,7-18,10-18,7-18,7-9"	"?10506,20506,40102,40708,30506"	"教一楼二区304,教一楼二区405,教一楼二区208,教四楼二区201,汽车楼202"	必修	学科基础平台课程
1012	大学计算机基础A	计算机科学教研室		3	0	134	张葵	"7-18,16-18"	"?30708,20102"	"教一楼三区207,教三楼105（黄家湖）"	必修	通识教育平台课程
1013	大学计算机基础A	计算机科学教研室		3	0	134	刘琼	"7-9,7-18"	"?30910,40304"	"教一楼三区507,教三楼407（黄家湖）"	必修	通识教育平台课程
1014	大学计算机基础A	计算机科学教研室		3	0	134	丁胜	"7-9,7-18"	"?50304,30506"	"教一楼三区506,教一楼三区109"	必修	通识教育平台课程
1015	大学计算机基础B	计算机科学教研室		3	0	134	李红斌	"7-9,7-18"	"?30506,50708"	"教四楼一区202,教一楼一区301"	必修	通识教育平台课程
1016	大学计算机基础B	计算机科学教研室		3	0	84	张葵	"7-9,7-18"	"?50304,10304"	"教一楼三区507,教一楼三区303"	必修	通识教育平台课程
1017	大学计算机基础B	计算机科学教研室		3	0	140	李波	"7-9,7-18"	"?10506,40304"	"教三楼205（黄家湖）,教三楼305（黄家湖）"	必修	通识教育平台课程
1018	大学计算机基础B	计算机科学教研室		3	0	84	李红斌	"7-9,7-18"	"?30102,50102"	"教四楼一区202,教一楼一区309"	必修	通识教育平台课程
1019	社会工作导论	行政管理教研室		3	0	52	袁年兴	"7-17,7-17"	"?10506,40102"	"教一楼二区406,教一楼二区407"	必修	专业核心课程
1020	逻辑学	哲学教研室		2	5	129	郭继海	"7-14,7-14"	"?40708,20708"	"教一楼一区502,教一楼一区503"	选修	学科基础平台课程
