编号	课程名称	开课单位	专业方向	学分	已选人数	余量	授课老师	上课周次	上课时间	上课地点	课程属性	课程性质
606	微分方程及边值理论	力学教研室		3	44	40	郑华升	"6-17,6-17"	"?30708,10708"	"教一楼一区307,教一楼一区108"	选修	学科基础平台课程
607	英语语法	外语系		2	83	1	马燕	1月16日	?20708	教一楼一区209	选修	专业任选课程
608	数据库技术及应用	计算机科学与技术学院		3	90	0	廖建平	2月13日	?20506	教三楼410（黄家湖）	选修	学科基础平台课程
609	网络技术及应用	计算机科学与技术学院		3	51	39	吴志祥	2月13日	?20102	教三楼411(黄家湖）	选修	学科基础平台课程
610	企业战略管理	工商管理系		3	64	34	刘丽	"7-18,7-18"	"?30708,10708"	"管理楼108,管理楼108"	选修	专业任选课程
611	线性代数	信息与计算科学系		2	114	26	杨芬	"1-8,1-8"	"?50304,40304"	"教一楼一区504,教一楼三区206"	选修	学科基础平台课程
612	英语国家概况	外语系		3	28	24	丁颖	"1-12,1-12"	"?10304,30304"	"教四楼二区103,教一楼二区108"	选修	专业任选课程
613	护理美学	临床护理教研室		1	62	72	程红	11月13日	?10102	教一楼三区307	选修	专业任选课程
614	城市环境物理	建筑学教研室		1.5	30	60	屈万英	"1-6,1-6"	"?30102,50304"	"教三楼109（黄家湖）,教三楼109（黄家湖）"	选修	学科基础平台课程
615	数据结构与算法分析	管理学院		3	43	47	秦岭	"1-8,1-9"	"?30304,10506"	"教三楼308（黄家湖）,教三楼404（黄家湖）"	选修	学科基础平台课程
616	财务管理学	财务会计系		3	42	16	魏明良	"7-18,7-18"	"?20304,40304"	"管理楼111,管理楼111"	选修	学科基础平台课程
617	线性代数	理学院		2	106	28	邹青洋	"1-8,1-8"	"?50102,20304"	"教一楼一区302,教一楼一区302"	选修	学科基础平台课程
618	数据库技术及应用	计算机科学教研室		3	59	81	廖建平	"2-10,13-15"	?30304	教三楼304（黄家湖）	选修	学科基础平台课程
619	组织行为学	组织与人力资源系		2	102	18	平芸	"3-10,3-10"	"?40506,20506"	"教一楼三区204,教一楼三区204"	选修	学科基础平台课程
620	信息检索与利用	图书馆		1	61	73	杨毅	10月17日	?50506	教一楼一区203	选修	学科基础平台课程
621	道路与桥梁工程试验	结构教研室	土木工程方向2	2	64	26	教师A	"8-13,8-13"	"?10506,30708"	"教三楼307（黄家湖）,教三楼109（黄家湖）"	选修	专业方向课程2
622	高层建筑施工	建筑技术教研室	土木工程方向1	1.5	44	46	郑立新	"1-6,1-6"	"?20708,50506"	"教三楼208（黄家湖）,教三楼208（黄家湖）"	选修	专业任选课程
623	典籍翻译	翻译教研室		2	22	35	吴万伟	1月16日	?10102	教一楼二区301	选修	专业方向课程2
624	软件开发文档模板及实例	软件工程教研室		2.5	32	18	王磊	"9-16,9-16"	"?40708,10506"	"教三楼211（黄家湖）,教一楼二区305"	选修	专业任选课程
625	人际沟通学	卫生学教研室		1	21	63	周婷	"12-14,12-13,12-14"	"?40304,50506,10304"	"教一楼一区207,教一楼一区107,教一楼一区109"	选修	学科基础平台课程
626	软件工程	软件工程教研室		2.5	32	102	刘茂福	"6-13,6-13"	"?20506,40506"	"教一楼三区109,教一楼三区107"	选修	专业任选课程
627	水质工程学（二）	给水排水教研室		5	77	13	汪恂	"5-16,5-16,5-16"	"?10102,50102,30102"	"教三楼309（黄家湖）,教三楼309（黄家湖）,教三楼309（黄家湖）"	必修	专业核心课程
628	高级英语(三)	外语系		3	32	20	马燕	"1-12,1-12"	"?30506,40506"	"教一楼二区203,教一楼三区403"	必修	专业核心课程
629	材料力学A	力学教研室		5	76	8	陈桂娟	"1-12,1-12,1-12"	"?40304,10506,20304"	"教一楼一区307,教一楼一区308,教一楼一区307"	必修	学科基础平台课程
630	理论力学B	力学教研室		4.5	117	17	廖明进	"1-12,1-12,1-12"	"?50304,30708,10708"	"教三楼405（黄家湖）,教一楼一区401,教一楼一区402"	必修	学科基础平台课程
631	大学物理B(二)	应用物理系		1.5	101	19	张国宏	"1-6,1-6"	"?20304,40304"	"教一楼一区104,教一楼一区104"	必修	学科基础平台课程
632	大学物理A(二)	理学院		3	107	33	熊祖钊	"4-15,4-15"	"?50102,20304"	"教一楼一区404,教一楼一区210"	必修	学科基础平台课程
633	大学物理B(二)	理学院		1.5	130	0	邵亮	"1-6,1-6"	"?20102,40102"	"教一楼一区304,教一楼一区304"	必修	学科基础平台课程
634	复变函数与积分变换	信息与计算科学系		3	156	4	余长春	"2-13,2-13"	"?50102,20304"	"教一楼一区310,教一楼一区310"	必修	学科基础平台课程
635	原子物理学	应用物理系		2	69	15	李新	"9-16,9-16"	"?40304,20304"	"教一楼一区107,教一楼一区107"	必修	学科基础平台课程
636	电工技术	电工电子基础课部		2	73	61	宋慧	1月12日	?40304	教一楼三区307	必修	学科基础平台课程
637	电工技术	电工电子基础课部		2	78	12	胡修兵	"9-10,1-10"	"?10304,30304"	"教三楼308（黄家湖）,教一楼三区407"	必修	学科基础平台课程
638	大学物理A(二)	应用物理系		3	117	17	徐麦容	"2-13,2-13"	"?10102,30102"	"教一楼一区401,教一楼一区403"	必修	学科基础平台课程
639	理论力学B	理学院		4.5	68	16	龚相超	"1-12,1-12,1-12"	"?50708,10708,30304"	"教一楼一区309,教一楼一区407,教一楼一区309"	必修	学科基础平台课程
640	大学物理B(二)	理学院		1.5	120	0	蒋超	"1-6,1-6"	"?20102,40102"	"教一楼一区305,教一楼一区305"	必修	学科基础平台课程
641	经济法	管理学院		3	97	43	林红珍	"1-8,1-8,1-8"	"?40506,50506,20506"	"教一楼三区504,教四楼一区101,教三楼104（黄家湖）"	必修	学科基础平台课程
